"ID","NAME","DESCRIPTION","IID"
"BMCL","BMCL","BME CLEARING S.A.",225
"BMCM","BMCM","BMO CAPITAL MARKETS LIMITED",226
"BMEA","BMEA","BME - APA",227
"BMEX","BMEX","BME - BOLSAS Y MERCADOS ESPANOLES",228
"BMFA","BMFA","BMFMS-ATS",229
"BMFM","BMFM","DERIVATIVES REGULATED MARKET - BMFMS",230
"BMFX","BMFX","SIBIU MONETARY- FINANCIAL AND COMMODITIES EXCHANGE",231
"BMLB","BMLB","BANK OF MONTREAL - LONDON BRANCH - SYSTEMATIC INTERNALISER",232
"BMLI","BMLI","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY",233
"BMLS","BMLS","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER",234
"BMLX","BMLX","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY",235
"BMSI","BMSI","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER",236
"BMTF","BMTF","BLOOMBERG TRADING FACILITY LIMITED",237
"BMTS","BMTS","MTS BELGIUM",238
"BNDD","BNDD","TRADEWEB DIRECT LLC",239
"BNLD","BNLD","BANCA NAZIONALE DEL LAVORO SPA - SYSTEMATIC INTERNALISER",240
"BNPA","BNPA","BNP PARIBAS ARBITRAGE SNC - SYSTEMATIC INTERNALISER",241
"BNPC","BNPC","BNPP CORTEX ATS",242
"BNPF","BNPF","BNP PARIBAS FORTIS SA/NV- SYSTEMATIC INTERNALISER",243
"BNPL","BNPL","BNP PARIBAS SA LONDON BRANCH - SYSTEMATIC INTERNALISER",244
"BNPP","BNPP","BANK BGZ BNP PARIBAS S.A. - SYSTEMATIC INTERNALISER",245
"BNPS","BNPS","BNP PARIBAS SA - SYSTEMATIC INTERNALISER",246
"BNPX","BNPX","BNP PARIBAS ALTERNATIVE TRADING SYSTEM",247
"BNSX","BNSX","THE BANK OF NOVA SCOTIA - SYSTEMATIC INTERNALISER",248
"BNTW","BNTW","BLOCKMATCH UK NT",249
"BNYC","BNYC","CONVERGEX",250
"BOAL","BOAL","BANK OF AMERICA, NATIONAL ASSOCIATION - LONDON BRANCH OFFICE",251
"BOAT","BOAT","CINNOBER BOAT",252
"BOCF","BOCF","BANK OF CHINA LIMITED - FRANKFURT BRANCH - SYSTEMATIC INTERNALISER",253
